"","year","iso3","idps","idps_change","pop","q1_temp","q2_temp","q3_temp","q4_temp","max_rain","avg_rain","deaths_war","deaths_civ","deaths_tot","food_yield","gdp","cpi","polity2","durable","percapinc"
"33",1964,"BDI",0,0,3010859,20.2513666666667,19.6750666666667,19.5308,20.1376,262.652,101.456641666667,0,0,0,991.9,260750008,NA,-3,0,86.6031946364808
"34",1964,"CAF",0,0,1616516,26.3324,25.8969333333333,23.6196333333333,23.7532666666667,263.916,121.467441666667,0,0,0,661.6,142025069.461676,NA,-7,4,87.8587465027726
"35",1964,"CHN",0,0,698355000,-5.63100666666667,12.6446,17.2018,0.0157566666666668,111.456,50.5147575,0,0,0,1622.7,59708343488.5043,NA,-8,15,85.4985551596313
"36",1964,"COD",0,0,16903923,NA,NA,NA,NA,NA,NA,0,0,0,692.1,2881545272.72727,35.42106498,-88,0,170.466067121062
"37",1964,"EGY",0,0,30071102,14.613,25.0358333333333,27.6454666666667,19.0691333333333,6.94788,2.5293075,0,0,0,3330.1,NA,3.660982949,-7,12,NA
"38",1964,"GHA",0,0,7513289,28.4537,27.5264,25.0309333333333,26.4601333333333,226.632,97.8298083333333,0,0,0,777.6,1731296118.87113,NA,-9,4,230.431189173095
"39",1964,"GNB",0,0,643961,26.7160666666667,28.8616,25.7909,25.7830333333333,475.197,155.075621666667,0,0,0,620.8,NA,NA,NA,NA,NA
"40",1964,"HKG",0,0,3504600,NA,NA,NA,NA,NA,NA,0,0,0,1396.2,2206466461.26434,NA,NA,NA,629.591525784495
"41",1964,"IND",0,0,487484535,20.1319333333333,29.0048333333333,26.2147666666667,20.6987333333333,319.585,93.04037,0,0,0,993.6,55726873083.5543,13.35403727,9,14,114.315160959012
"42",1964,"KHM",0,0,6331583,26.5032666666667,28.2916333333333,27.2342666666667,25.0808333333333,340.762,154.525296666667,0,0,0,1183.7,782857128.571429,NA,-9,8,123.643191374326
"43",1964,"MAC",0,0,193563,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"44",1964,"MOZ",0,0,8030025,25.9161333333333,21.5508333333333,20.3653666666667,25.3833,216.01,70.2103583333333,0,0,0,926.5,NA,NA,NA,NA,NA
"45",1964,"NPL",0,0,10728197,6.11345,15.9435333333333,17.5443333333333,8.96861,488.691,106.873384166667,0,0,0,1883.2,496098775.308642,NA,-9,4,46.2425117015135
"46",1964,"RUS",0,0,125345000,-23.7203333333333,1.09897333333333,10.69275,-15.9883666666667,60.8983,35.2585833333333,0,0,0,NA,NA,NA,-7,42,NA
"47",1964,"RWA",0,0,3161724,19.4156333333333,18.9201666666667,18.615,18.9205,224.918,100.410375,0,0,0,1361.9,129999994,NA,-5,3,41.1168065270719
"48",1964,"SDN",0,0,8503994,21.9193333333333,29.9655333333333,27.8838,23.4428,123.652,25.2910208333333,0,0,0,NA,1611333333.33333,3.950838434,-88,0,189.47959433336
"49",1964,"SEN",0,0,3580312,27.0234,30.5500333333333,27.5053666666667,26.4395333333333,294.155,74.4293041666667,0,0,0,588.3,1188930567.71363,NA,-7,1,332.074569957487
"50",1964,"TGO",0,0,1662073,28.4377,27.3388666666667,24.6249333333333,26.4667666666667,188.356,96.4106891666667,0,0,0,502.1,166104067.630043,NA,-6,4,99.9378893887591
"51",1964,"TZA",0,0,11339097,23.1539333333333,21.3082666666667,20.2796333333333,23.0967,221.831,83.8246841666667,0,0,0,804.4,NA,NA,-6,3,NA
"52",1964,"UGA",0,0,7746198,23.5576666666667,22.2454666666667,20.9308333333333,21.8837666666667,187.493,104.855133333333,0,0,0,884.4,589056603.773585,NA,7,2,76.0446097264213
"53",1964,"VNM",0,0,36780985,20.4990333333333,26.4553,26.7412666666667,21.9897333333333,305.964,156.817358333333,0,0,0,1909.8,NA,NA,-3,10,NA
"54",1965,"AGO",0,0,6203299,22.3111333333333,20.2911333333333,19.7221,22.6185333333333,170.407,77.4075891666667,0,0,0,932,NA,NA,NA,NA,NA
"55",1965,"ALB",0,0,1864791,2.75957666666667,13.6727966666667,19.5581,8.40753666666667,160.624,73.451405,0,0,0,1037.3,NA,NA,-9,18,NA
"56",1965,"BDI",0,0,3077876,19.8633333333333,19.5891333333333,20.0363666666667,20.2945,212.907,100.273210833333,0,0,0,983.6,158994962.962963,NA,-88,0,51.6573646771225
"57",1965,"CAF",0,0,1648833,25.7712333333333,25.9599,24.1893,24.5841,245.209,111.76602,0,0,0,790.2,150574816.300764,NA,-7,5,91.3220540229144
"58",1965,"CHN",0,0,715185000,-4.75036666666667,12.5184566666667,16.8739666666667,-0.16662,105.314,45.4276091666667,0,0,0,1746.5,70436266146.7219,NA,-8,16,98.4867777522206
